"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID-011,"Bingham County",37.5,119,5.7,31.8
ID-013,"Blaine County",35.6,121,5.6,30
ID-015,"Boise County",36.2,119,4.8,31.4
ID-017,"Bonner County",35.7,115,3.9,31.8
ID-019,"Bonneville County",35.7,122,5.9,29.8
ID-021,"Boundary County",33.1,117,4.2,28.9
ID-023,"Butte County",33.3,112,4.6,28.7
ID-025,"Camas County",34.8,117,5.2,29.6
ID-027,"Canyon County",43.4,118,4.1,39.3
ID-029,"Caribou County",35.1,116,5.2,29.9
ID-031,"Cassia County",40.0,121,5.9,34.1
ID-033,"Clark County",33.2,117,5.9,27.3
ID-035,"Clearwater County",37.0,118,4.5,32.5
ID-037,"Custer County",32.1,123,5.7,26.4
ID-039,"Elmore County",40.0,121,5.3,34.7
ID-041,"Franklin County",37.7,121,5.8,31.9
ID-043,"Fremont County",33.3,119,6.1,27.2
ID-045,"Gem County",40.2,109,3.5,36.7
ID-047,"Gooding County",41.6,120,5.6,36
ID-049,"Idaho County",35.5,119,4.8,30.7
ID-051,"Jefferson County",36.1,121,6.0,30.1
ID-053,"Jerome County",42.3,123,6.1,36.2
ID-055,"Kootenai County",38.7,120,4.7,34
ID-057,"Latah County",39.9,118,4.5,35.4
ID-059,"Lemhi County",33.1,121,5.9,27.2
ID-061,"Lewis County",39.0,119,4.3,34.7
ID-063,"Lincoln County",39.9,122,6.0,33.9
ID-065,"Madison County",36.4,123,6.1,30.3
ID-067,"Minidoka County",40.0,122,6.2,33.8
ID-069,"Nez Perce County",42.2,119,4.7,37.5
ID-071,"Oneida County",38.2,113,4.7,33.5
ID-073,"Owyhee County",41.3,121,5.4,35.9
ID-075,"Payette County",42.7,119,4.6,38.1
ID-077,"Power County",38.6,118,5.4,33.2
ID-079,"Shoshone County",35.5,118,4.3,31.2
ID-081,"Teton County",33.5,118,5.8,27.7
ID-083,"Twin Falls County",41.5,120,5.6,35.9
ID-085,"Valley County",32.6,117,4.6,28
ID-087,"Washington County",39.3,113,3.7,35.6
IL-001,"Adams County",42.6,75,1.3,41.3
IL-003,"Alexander County",45.5,53,-0.6,46.1
IL-005,"Bond County",42.4,46,-0.9,43.3
IL-007,"Boone County",38.3,83,1.7,36.6
IL-009,"Brown County",41.8,65,0.7,41.1
IL-011,"Bureau County",39.0,75,1.2,37.8
IL-013,"Calhoun County",44.1,75,1.0,43.1
IL-015,"Carroll County",37.6,76,1.2,36.4
IL-017,"Cass County",41.7,61,0.5,41.2
IL-019,"Champaign County",39.4,50,-0.7,40.1
IL-021,"Christian County",40.8,46,-0.8,41.6
IL-023,"Clark County",41.2,45,-0.9,42.1
IL-025,"Clay County",42.3,46,-0.8,43.1
IL-027,"Clinton County",43.3,49,-0.6,43.9
IL-029,"Coles County",40.8,49,-0.6,41.4
IL-031,"Cook County",39.2,58,0.3,38.9
IL-033,"Crawford County",41.8,39,-1.2,43
IL-035,"Cumberland County",41.4,49,-0.6,42
IL-037,"DeKalb County",37.9,65,0.6,37.3
IL-039,"De Witt County",39.9,52,-0.1,40
IL-041,"Douglas County",40.2,53,-0.5,40.7
IL-043,"DuPage County",38.6,61,0.3,38.3
IL-045,"Edgar County",40.2,44,-1.0,41.2
IL-047,"Edwards County",42.7,38,-1.6,44.3
IL-049,"Effingham County",41.7,50,-0.5,42.2
IL-051,"Fayette County",41.9,47,-0.8,42.7
IL-053,"Ford County",39.1,51,-0.2,39.3
IL-055,"Franklin County",43.9,52,-0.7,44.6
IL-057,"Fulton County",41.3,75,1.1,40.2
IL-059,"Gallatin County",43.0,32,-2.3,45.3
IL-061,"Greene County",43.2,68,0.5,42.7
IL-063,"Grundy County",38.6,52,0.0,38.6
IL-065,"Hamilton County",43.3,42,-1.1,44.4
IL-067,"Hancock County",41.8,74,1.3,40.5
IL-069,"Hardin County",43.2,30,-2.5,45.7
IL-071,"Henderson County",40.6,68,1.1,39.5
IL-073,"Henry County",39.7,80,1.6,38.1
IL-075,"Iroquois County",38.6,45,-0.8,39.4
IL-077,"Jackson County",44.5,60,-0.2,44.7
IL-079,"Jasper County",41.8,44,-0.8,42.6
IL-081,"Jefferson County",43.2,46,-0.9,44.1
IL-083,"Jersey County",43.8,69,0.6,43.2
IL-085,"Jo Daviess County",37.6,77,1.7,35.9
IL-087,"Johnson County",44.3,45,-1.2,45.5
IL-089,"Kane County",37.9,59,0.2,37.7
IL-091,"Kankakee County",38.5,48,-0.7,39.2
IL-093,"Kendall County",38.3,54,-0.2,38.5
IL-095,"Knox County",39.9,66,1.0,38.9
IL-097,"Lake County",38.3,65,0.6,37.7
IL-099,"LaSalle County",38.6,59,0.4,38.2
IL-101,"Lawrence County",42.3,40,-1.4,43.7
IL-103,"Lee County",38.3,76,1.3,37
IL-105,"Livingston County",39.2,60,0.4,38.8
IL-107,"Logan County",40.7,56,0.0,40.7
IL-109,"McDonough County",41.2,75,1.2,40
IL-111,"McHenry County",37.1,61,0.4,36.7
IL-113,"McLean County",40.0,69,0.9,39.1
IL-115,"Macon County",40.1,49,-0.7,40.8
IL-117,"Macoupin County",42.6,62,0.2,42.4
IL-119,"Madison County",44.0,60,0.1,43.9
IL-121,"Marion County",42.6,47,-0.8,43.4
IL-123,"Marshall County",39.8,74,1.2,38.6
IL-125,"Mason County",41.4,62,0.4,41
IL-127,"Massac County",44.7,37,-1.6,46.3
IL-129,"Menard County",41.0,54,-0.2,41.2
IL-131,"Mercer County",40.2,78,1.6,38.6
IL-133,"Monroe County",45.6,72,0.9,44.7
IL-135,"Montgomery County",41.4,45,-0.9,42.3
IL-137,"Morgan County",42.1,68,0.6,41.5
IL-139,"Moultrie County",40.4,51,-0.7,41.1
IL-141,"Ogle County",38.1,80,1.4,36.7
IL-143,"Peoria County",40.8,80,1.4,39.4
IL-145,"Perry County",43.9,58,-0.4,44.3
IL-147,"Piatt County",39.8,51,-0.4,40.2
IL-149,"Pike County",42.9,72,0.8,42.1
IL-151,"Pope County",43.7,33,-2.0,45.7
IL-153,"Pulaski County",45.5,54,-0.7,46.2
IL-155,"Putnam County",39.3,66,0.6,38.7
IL-157,"Randolph County",44.6,68,0.2,44.4
IL-159,"Richland County",42.2,40,-1.3,43.5
IL-161,"Rock Island County",40.3,87,2.0,38.3
IL-163,"St. Clair County",44.9,63,0.5,44.4
IL-165,"Saline County",43.4,37,-1.7,45.1
IL-167,"Sangamon County",41.2,52,-0.3,41.5
IL-169,"Schuyler County",41.8,73,1.1,40.7
IL-171,"Scott County",42.5,64,0.5,42
IL-173,"Shelby County",41.1,48,-0.6,41.7
IL-175,"Stark County",39.7,75,1.3,38.4
IL-177,"Stephenson County",37.6,84,1.8,35.8
IL-179,"Tazewell County",41.0,75,1.2,39.8
IL-181,"Union County",44.9,55,-0.4,45.3
IL-183,"Vermilion County",39.1,39,-1.4,40.5
IL-185,"Wabash County",42.7,37,-1.6,44.3
IL-187,"Warren County",40.0,64,0.9,39.1
IL-189,"Washington County",43.5,51,-0.5,44
IL-191,"Wayne County",42.9,42,-1.1,44
IL-193,"White County",42.8,35,-2.0,44.8
IL-195,"Whiteside County",39.0,84,1.6,37.4
IL-197,"Will County",38.5,48,-0.4,38.9
IL-199,"Williamson County",44.1,50,-0.8,44.9
IL-201,"Winnebago County",38.5,87,1.9,36.6
IL-203,"Woodford County",40.1,77,1.4,38.7
IN-001,"Adams County",39.7,61,0.1,39.6
IN-003,"Allen County",39.3,56,-0.2,39.5
IN-005,"Bartholomew County",40.4,29,-2.2,42.6
IN-007,"Benton County",38.1,41,-1.3,39.4
IN-009,"Blackford County",40.1,55,-0.3,40.4
IN-011,"Boone County",38.6,37,-1.3,39.9
IN-013,"Brown County",40.0,33,-1.9,41.9
IN-015,"Carroll County",38.8,39,-1.1,39.9
IN-017,"Cass County",38.9,47,-0.6,39.5
IN-019,"Clark County",42.7,42,-1.3,44
IN-021,"Clay County",40.4,37,-1.3,41.7
IN-023,"Clinton County",38.7,39,-1.1,39.8
IN-025,"Crawford County",42.0,30,-2.2,44.2
IN-027,"Daviess County",42.0,46,-1.1,43.1
IN-029,"Dearborn County",41.5,40,-1.3,42.8
IN-031,"Decatur County",40.2,33,-2.0,42.2
IN-033,"DeKalb County",38.8,61,0.1,38.7
IN-035,"Delaware County",40.8,58,0.2,40.6
IN-037,"Dubois County",42.1,33,-1.8,43.9
IN-039,"Elkhart County",38.6,67,0.3,38.3
IN-041,"Fayette County",39.9,41,-1.2,41.1
IN-043,"Floyd County",43.2,44,-1.0,44.2
IN-045,"Fountain County",39.0,37,-1.5,40.5
IN-047,"Franklin County",40.5,38,-1.4,41.9
IN-049,"Fulton County",38.7,54,0.0,38.7
IN-051,"Gibson County",42.7,37,-1.8,44.5
IN-053,"Grant County",39.6,44,-0.8,40.4
IN-055,"Greene County",40.8,38,-1.3,42.1
IN-057,"Hamilton County",38.9,35,-1.7,40.6
IN-059,"Hancock County",39.4,36,-1.8,41.2
IN-061,"Harrison County",43.0,41,-1.4,44.4
IN-063,"Hendricks County",38.9,35,-1.7,40.6
IN-065,"Henry County",40.0,52,-0.4,40.4
IN-067,"Howard County",38.9,42,-1.0,39.9
IN-069,"Huntington County",39.4,52,-0.5,39.9
IN-071,"Jackson County",41.0,30,-2.0,43
IN-073,"Jasper County",38.8,49,-0.4,39.2
IN-075,"Jay County",39.9,54,-0.2,40.1
IN-077,"Jefferson County",41.8,37,-1.5,43.3
IN-079,"Jennings County",41.0,31,-2.0,43
IN-081,"Johnson County",39.4,31,-2.1,41.5
IN-083,"Knox County",42.4,43,-1.1,43.5
IN-085,"Kosciusko County",38.8,58,0.1,38.7
IN-087,"LaGrange County",38.6,66,0.4,38.2
IN-089,"Lake County",38.7,48,-0.5,39.2
IN-091,"LaPorte County",38.6,51,-0.3,38.9
IN-093,"Lawrence County",40.8,34,-1.8,42.6
IN-095,"Madison County",40.0,47,-0.8,40.8
IN-097,"Marion County",39.1,34,-2.1,41.2
IN-099,"Marshall County",38.6,59,0.2,38.4
IN-101,"Martin County",41.5,42,-1.3,42.8
IN-103,"Miami County",39.1,43,-0.6,39.7
IN-105,"Monroe County",40.1,38,-1.6,41.7
IN-107,"Montgomery County",38.8,38,-1.2,40
IN-109,"Morgan County",39.7,34,-1.8,41.5
IN-111,"Newton County",38.6,47,-0.6,39.2
IN-113,"Noble County",38.7,61,0.1,38.6
IN-115,"Ohio County",42.2,42,-1.1,43.3
IN-117,"Orange County",41.6,35,-1.8,43.4
IN-119,"Owen County",40.2,38,-1.4,41.6
IN-121,"Parke County",39.6,38,-1.5,41.1
IN-123,"Perry County",41.8,21,-3.4,45.2
IN-125,"Pike County",42.4,39,-1.5,43.9
IN-127,"Porter County",38.7,51,-0.3,39
IN-129,"Posey County",42.9,31,-2.4,45.3
IN-131,"Pulaski County",38.8,54,-0.1,38.9
IN-133,"Putnam County",39.2,34,-1.7,40.9
IN-135,"Randolph County",39.6,49,-0.4,40
IN-137,"Ripley County",40.7,36,-1.6,42.3
IN-139,"Rush County",39.8,36,-1.5,41.3
IN-141,"St. Joseph County",38.7,62,0.2,38.5
IN-143,"Scott County",41.8,36,-1.6,43.4
IN-145,"Shelby County",39.8,33,-2.1,41.9
IN-147,"Spencer County",42.0,19,-3.4,45.4
IN-149,"Starke County",38.7,54,0.0,38.7
IN-151,"Steuben County",38.4,65,0.5,37.9
IN-153,"Sullivan County",41.4,38,-1.2,42.6
IN-155,"Switzerland County",42.4,41,-1.1,43.5
IN-157,"Tippecanoe County",38.7,39,-1.2,39.9
IN-159,"Tipton County",38.9,41,-1.2,40.1
IN-161,"Union County",40.0,41,-1.1,41.1
IN-163,"Vanderburgh County",42.8,30,-2.5,45.3
IN-165,"Vermillion County",39.8,39,-1.4,41.2
IN-167,"Vigo County",40.9,41,-1.0,41.9
IN-169,"Wabash County",39.3,50,-0.6,39.9
IN-171,"Warren County",38.5,38,-1.6,40.1
IN-173,"Warrick County",42.3,29,-2.6,44.9
IN-175,"Washington County",41.5,38,-1.6,43.1
IN-177,"Wayne County",39.5,45,-0.9,40.4
IN-179,"Wells County",39.7,57,-0.2,39.9
IN-181,"White County",38.6,44,-0.8,39.4
IN-183,"Whitley County",39.0,56,-0.3,39.3
IA-001,"Adair County",40.8,105,4.0,36.8
IA-003,"Adams County",41.7,111,4.4,37.3
IA-005,"Allamakee County",36.1,81,2.3,33.8
IA-007,"Appanoose County",41.2,86,2.2,39
IA-009,"Audubon County",39.6,105,4.0,35.6
IA-011,"Benton County",37.2,76,1.5,35.7
IA-013,"Black Hawk County",38.2,98,3.3,34.9
IA-015,"Boone County",39.7,101,3.8,35.9
IA-017,"Bremer County",37.5,100,3.5,34
IA-019,"Buchanan County",36.9,85,2.3,34.6
IA-021,"Buena Vista County",38.1,106,4.4,33.7
IA-023,"Butler County",38.0,98,3.7,34.3
IA-025,"Calhoun County",39.1,106,4.4,34.7
IA-027,"Carroll County",39.8,112,4.8,35
IA-029,"Cass County",40.9,106,4.0,36.9
IA-031,"Cedar County",38.6,80,1.7,36.9
IA-033,"Cerro Gordo County",37.0,100,4.0,33
IA-035,"Cherokee County",38.6,112,4.9,33.7
IA-037,"Chickasaw County",36.6,98,3.4,33.2
IA-039,"Clarke County",41.7,102,3.7,38
IA-041,"Clay County",37.6,109,4.8,32.8
IA-043,"Clayton County",36.6,83,2.2,34.4
IA-045,"Clinton County",39.4,89,2.2,37.2
IA-047,"Crawford County",40.0,113,5.0,35
IA-049,"Dallas County",40.9,99,3.8,37.1
IA-051,"Davis County",41.1,83,2.0,39.1
IA-053,"Decatur County",42.2,103,3.7,38.5
IA-055,"Delaware County",36.8,82,2.1,34.7
IA-057,"Des Moines County",40.7,71,1.5,39.2
IA-059,"Dickinson County",36.5,104,4.4,32.1
IA-061,"Dubuque County",37.2,75,1.7,35.5
IA-063,"Emmet County",36.1,100,4.0,32.1
IA-065,"Fayette County",36.1,88,2.6,33.5
IA-067,"Floyd County",37.1,97,3.6,33.5
IA-069,"Franklin County",37.5,99,3.8,33.7
IA-071,"Fremont County",43.4,107,4.4,39
IA-073,"Greene County",40.0,107,4.3,35.7
IA-075,"Grundy County",38.3,98,3.4,34.9
IA-077,"Guthrie County",40.3,103,4.0,36.3
IA-079,"Hamilton County",37.5,91,2.8,34.7
IA-081,"Hancock County",36.5,92,3.4,33.1
IA-083,"Hardin County",38.1,95,3.5,34.6
IA-085,"Harrison County",41.9,115,5.4,36.5
IA-087,"Henry County",40.9,87,2.1,38.8
IA-089,"Howard County",36.1,101,4.0,32.1
IA-091,"Humboldt County",37.7,91,3.4,34.3
IA-093,"Ida County",39.4,112,5.0,34.4
IA-095,"Iowa County",38.7,83,2.1,36.6
IA-097,"Jackson County",38.4,80,1.9,36.5
IA-099,"Jasper County",40.1,95,3.1,37
IA-101,"Jefferson County",40.5,83,1.9,38.6
IA-103,"Johnson County",38.5,72,1.4,37.1
IA-105,"Jones County",38.4,92,2.6,35.8
IA-107,"Keokuk County",40.3,90,2.8,37.5
IA-109,"Kossuth County",36.5,93,3.5,33
IA-111,"Lee County",41.2,65,1.1,40.1
IA-113,"Linn County",38.3,91,2.5,35.8
IA-115,"Louisa County",40.8,89,2.2,38.6
IA-117,"Lucas County",41.2,93,2.8,38.4
IA-119,"Lyon County",37.3,109,4.8,32.5
IA-121,"Madison County",41.4,103,3.8,37.6
IA-123,"Mahaska County",40.6,91,2.7,37.9
IA-125,"Marion County",40.8,90,2.4,38.4
IA-127,"Marshall County",39.0,95,3.2,35.8
IA-129,"Mills County",42.9,108,4.6,38.3
IA-131,"Mitchell County",36.6,103,4.1,32.5
IA-133,"Monona County",41.1,117,5.5,35.6
IA-135,"Monroe County",41.1,89,2.4,38.7
IA-137,"Montgomery County",42.2,112,4.5,37.7
IA-139,"Muscatine County",39.7,80,1.6,38.1
IA-141,"O'Brien County",37.9,110,4.9,33
IA-143,"Osceola County",36.8,104,4.6,32.2
IA-145,"Page County",43.0,113,4.6,38.4
IA-147,"Palo Alto County",36.9,98,3.9,33
IA-149,"Plymouth County",39.2,114,5.2,34
IA-151,"Pocahontas County",37.7,95,3.5,34.2
IA-153,"Polk County",41.0,97,3.5,37.5
IA-155,"Pottawattamie County",42.1,113,4.7,37.4
IA-157,"Poweshiek County",38.7,84,2.2,36.5
IA-159,"Ringgold County",41.9,106,3.9,38
IA-161,"Sac County",39.1,109,4.8,34.3
IA-163,"Scott County",40.1,90,2.3,37.8
IA-165,"Shelby County",40.2,108,4.3,35.9
IA-167,"Sioux County",38.0,109,4.8,33.2
IA-169,"Story County",39.4,96,3.5,35.9
IA-171,"Tama County",37.9,84,2.3,35.6
IA-173,"Taylor County",42.5,114,4.6,37.9
IA-175,"Union County",41.2,104,3.8,37.4
IA-177,"Van Buren County",40.8,71,1.3,39.5
IA-179,"Wapello County",41.2,90,2.6,38.6
IA-181,"Warren County",41.7,97,3.3,38.4
IA-183,"Washington County",40.3,88,2.6,37.7
IA-185,"Wayne County",41.4,92,2.8,38.6
IA-187,"Webster County",38.4,95,3.6,34.8
IA-189,"Winnebago County",35.7,92,3.3,32.4
IA-191,"Winneshiek County",36.5,101,3.8,32.7
IA-193,"Woodbury County",40.2,116,5.3,34.9
IA-195,"Worth County",36.4,98,4.0,32.4
IA-197,"Wright County",36.9,89,3.0,33.9
KS-001,"Allen County",47.6,96,2.7,44.9
KS-003,"Anderson County",47.0,99,2.8,44.2
KS-005,"Atchison County",45.2,109,3.6,41.6
KS-007,"Barber County",48.7,112,4.4,44.3
KS-009,"Barton County",46.0,110,4.1,41.9
KS-011,"Bourbon County",47.8,97,2.8,45
KS-013,"Brown County",44.8,109,4.1,40.7
KS-015,"Butler County",48.2,112,4.2,44
KS-017,"Chase County",47.2,113,4.2,43
KS-019,"Chautauqua County",48.5,93,2.4,46.1
KS-021,"Cherokee County",49.3,96,2.8,46.5
KS-023,"Cheyenne County",45.7,126,7.6,38.1
KS-025,"Clark County",48.4,111,4.3,44.1
KS-027,"Clay County",46.9,119,5.4,41.5
KS-029,"Cloud County",46.8,121,5.8,41
KS-031,"Coffey County",47.6,109,3.7,43.9
KS-033,"Comanche County",48.5,111,4.4,44.1
KS-035,"Cowley County",48.9,105,3.6,45.3
KS-037,"Crawford County",48.6,96,2.9,45.7
KS-039,"Decatur County",45.4,124,6.8,38.6
KS-041,"Dickinson County",47.7,118,5.4,42.3
KS-043,"Doniphan County",45.0,103,3.5,41.5
KS-045,"Douglas County",46.7,104,3.6,43.1
KS-047,"Edwards County",46.7,112,4.3,42.4
KS-049,"Elk County",48.1,100,2.9,45.2
KS-051,"Ellis County",46.6,121,5.6,41
KS-053,"Ellsworth County",47.0,114,5.0,42
KS-055,"Finney County",46.4,120,5.6,40.8
KS-057,"Ford County",46.9,113,4.6,42.3
KS-059,"Franklin County",46.8,103,3.2,43.6
KS-061,"Geary County",47.6,118,5.5,42.1
KS-063,"Gove County",46.3,122,6.3,40
KS-065,"Graham County",46.7,123,6.6,40.1
KS-067,"Grant County",46.5,119,4.7,41.8
KS-069,"Gray County",46.9,119,5.3,41.6
KS-071,"Greeley County",43.9,115,4.8,39.1
KS-073,"Greenwood County",48.1,109,3.9,44.2
KS-075,"Hamilton County",45.1,117,4.3,40.8
KS-077,"Harper County",49.0,110,4.1,44.9
KS-079,"Harvey County",48.0,112,4.5,43.5
KS-081,"Haskell County",46.8,119,5.1,41.7
KS-083,"Hodgeman County",46.8,118,4.7,42.1
KS-085,"Jackson County",45.2,110,3.9,41.3
KS-087,"Jefferson County",45.9,106,3.6,42.3
KS-089,"Jewell County",44.8,117,5.3,39.5
KS-091,"Johnson County",46.7,108,3.7,43
KS-093,"Kearny County",45.6,119,4.9,40.7
KS-095,"Kingman County",47.8,108,3.9,43.9
KS-097,"Kiowa County",47.5,112,4.4,43.1
KS-099,"Labette County",49.0,95,2.5,46.5
KS-101,"Lane County",46.4,122,6.1,40.3
KS-103,"Leavenworth County",46.2,106,3.7,42.5
KS-105,"Lincoln County",47.1,121,5.8,41.3
KS-107,"Linn County",47.2,99,2.8,44.4
KS-109,"Logan County",45.9,123,6.3,39.6
KS-111,"Lyon County",47.6,114,4.6,43
KS-113,"McPherson County",47.4,114,4.8,42.6
KS-115,"Marion County",47.5,115,4.6,42.9
KS-117,"Marshall County",45.5,116,5.3,40.2
KS-119,"Meade County",48.2,117,4.7,43.5
KS-121,"Miami County",46.9,104,3.3,43.6
KS-123,"Mitchell County",46.0,119,5.5,40.5
KS-125,"Montgomery County",48.8,90,2.3,46.5
KS-127,"Morris County",47.1,116,5.0,42.1
KS-129,"Morton County",47.8,120,5.2,42.6
KS-131,"Nemaha County",44.6,110,4.3,40.3
KS-133,"Neosho County",48.4,98,2.6,45.8
KS-135,"Ness County",46.8,120,5.3,41.5
KS-137,"Norton County",46.0,124,7.0,39
KS-139,"Osage County",47.0,110,4.0,43
KS-141,"Osborne County",46.0,121,5.5,40.5
KS-143,"Ottawa County",47.4,121,5.8,41.6
KS-145,"Pawnee County",46.2,111,4.3,41.9
KS-147,"Phillips County",45.8,122,6.1,39.7
KS-149,"Pottawatomie County",46.1,112,4.7,41.4
KS-151,"Pratt County",47.2,109,4.0,43.2
KS-153,"Rawlins County",45.2,125,6.8,38.4
KS-155,"Reno County",47.4,109,4.1,43.3
KS-157,"Republic County",45.4,118,5.7,39.7
KS-159,"Rice County",46.7,111,4.2,42.5
KS-161,"Riley County",46.8,117,5.2,41.6
KS-163,"Rooks County",46.8,123,6.2,40.6
KS-165,"Rush County",46.3,115,4.8,41.5
KS-167,"Russell County",46.7,120,5.3,41.4
KS-169,"Saline County",47.5,119,5.3,42.2
KS-171,"Scott County",45.8,121,5.9,39.9
KS-173,"Sedgwick County",48.5,110,4.2,44.3
KS-175,"Seward County",47.9,119,4.9,43
KS-177,"Shawnee County",46.6,110,4.1,42.5
KS-179,"Sheridan County",45.8,124,6.7,39.1
KS-181,"Sherman County",45.7,125,7.6,38.1
KS-183,"Smith County",44.8,117,5.1,39.7
KS-185,"Stafford County",46.4,107,3.9,42.5
KS-187,"Stanton County",46.7,119,4.8,41.9
KS-189,"Stevens County",47.6,119,5.0,42.6
KS-191,"Sumner County",49.2,108,4.0,45.2
KS-193,"Thomas County",45.3,124,6.7,38.6
KS-195,"Trego County",46.7,121,5.9,40.8
KS-197,"Wabaunsee County",46.8,114,4.7,42.1
KS-199,"Wallace County",45.6,123,6.8,38.8
KS-201,"Washington County",45.2,116,5.2,40
KS-203,"Wichita County",44.8,120,5.2,39.6
KS-205,"Wilson County",48.5,97,2.7,45.8
KS-207,"Woodson County",47.9,103,3.1,44.8
KS-209,"Wyandotte County",46.6,108,3.8,42.8
KY-001,"Adair County",43.7,35,-1.8,45.5
KY-003,"Allen County",44.4,26,-2.5,46.9
KY-005,"Anderson County",43.6,51,-0.8,44.4
KY-007,"Ballard County",45.5,48,-1.1,46.6
KY-009,"Barren County",44.3,29,-2.2,46.5
KY-011,"Bath County",43.2,50,-1.0,44.2
KY-013,"Bell County",41.7,23,-2.9,44.6
KY-015,"Boone County",42.5,43,-0.9,43.4
KY-017,"Bourbon County",42.8,48,-1.1,43.9
KY-019,"Boyd County",43.7,56,-0.4,44.1
KY-021,"Boyle County",43.5,44,-1.3,44.8
KY-023,"Bracken County",42.4,48,-0.9,43.3
KY-025,"Breathitt County",44.0,40,-1.4,45.4
KY-027,"Breckinridge County",42.2,23,-3.1,45.3
KY-029,"Bullitt County",44.2,48,-0.9,45.1
KY-031,"Butler County",44.1,28,-2.4,46.5
KY-033,"Caldwell County",44.0,25,-2.7,46.7
KY-035,"Calloway County",43.9,17,-3.4,47.3
KY-037,"Campbell County",42.6,42,-0.9,43.5
KY-039,"Carlisle County",45.4,41,-1.4,46.8
KY-041,"Carroll County",42.8,42,-1.1,43.9
KY-043,"Carter County",42.8,52,-0.6,43.4
KY-045,"Casey County",43.2,39,-1.7,44.9
KY-047,"Christian County",44.0,25,-2.9,46.9
KY-049,"Clark County",43.3,48,-1.2,44.5
KY-051,"Clay County",42.9,33,-2.3,45.2
KY-053,"Clinton County",44.1,38,-1.7,45.8
KY-055,"Crittenden County",43.6,26,-2.6,46.2
KY-057,"Cumberland County",44.5,34,-1.9,46.4
KY-059,"Daviess County",42.6,18,-3.4,46
KY-061,"Edmonson County",44.4,31,-1.9,46.3
KY-063,"Elliott County",43.2,54,-0.6,43.8
KY-065,"Estill County",43.8,38,-1.6,45.4
KY-067,"Fayette County",43.2,51,-0.9,44.1
KY-069,"Fleming County",42.7,50,-1.0,43.7
KY-071,"Floyd County",44.4,44,-1.1,45.5
KY-073,"Franklin County",43.6,53,-0.6,44.2
KY-075,"Fulton County",45.9,42,-1.4,47.3
KY-077,"Gallatin County",42.9,45,-0.9,43.8
KY-079,"Garrard County",43.7,43,-1.4,45.1
KY-081,"Grant County",42.7,46,-0.9,43.6
KY-083,"Graves County",44.7,32,-2.3,47
KY-085,"Grayson County",43.2,27,-2.4,45.6
KY-087,"Green County",44.2,38,-1.6,45.8
KY-089,"Greenup County",42.8,49,-0.6,43.4
KY-091,"Hancock County",41.7,15,-4.1,45.8
KY-093,"Hardin County",43.5,37,-1.5,45
KY-095,"Harlan County",41.0,22,-2.8,43.8
KY-097,"Harrison County",42.8,49,-0.9,43.7
KY-099,"Hart County",44.2,35,-1.7,45.9
KY-101,"Henderson County",42.8,23,-3.1,45.9
KY-103,"Henry County",42.9,48,-0.9,43.8
KY-105,"Hickman County",45.5,39,-1.6,47.1
KY-107,"Hopkins County",44.2,27,-2.4,46.6
KY-109,"Jackson County",42.8,34,-2.0,44.8
KY-111,"Jefferson County",44.0,46,-0.9,44.9
KY-113,"Jessamine County",43.6,47,-1.0,44.6
KY-115,"Johnson County",44.2,51,-0.6,44.8
KY-117,"Kenton County",42.4,41,-1.0,43.4
KY-119,"Knott County",43.5,43,-1.5,45
KY-121,"Knox County",42.5,26,-2.6,45.1
KY-123,"Larue County",43.9,42,-1.3,45.2
KY-125,"Laurel County",42.8,30,-2.2,45
KY-127,"Lawrence County",43.9,52,-0.5,44.4
KY-129,"Lee County",43.9,38,-1.7,45.6
KY-131,"Leslie County",42.7,33,-2.2,44.9
KY-133,"Letcher County",42.1,31,-2.3,44.4
KY-135,"Lewis County",42.4,46,-0.9,43.3
KY-137,"Lincoln County",43.1,37,-1.7,44.8
KY-139,"Livingston County",44.1,30,-2.4,46.5
KY-141,"Logan County",43.9,22,-3.0,46.9
KY-143,"Lyon County",44.2,23,-2.8,47
KY-145,"McCracken County",45.0,38,-1.6,46.6
KY-147,"McCreary County",42.7,29,-2.3,45
KY-149,"McLean County",43.5,27,-2.8,46.3
KY-151,"Madison County",43.7,40,-1.5,45.2
KY-153,"Magoffin County",43.9,48,-0.9,44.8
KY-155,"Marion County",43.8,43,-1.3,45.1
KY-157,"Marshall County",44.4,24,-2.7,47.1
KY-159,"Martin County",44.4,46,-0.9,45.3
KY-161,"Mason County",42.2,48,-1.1,43.3
KY-163,"Meade County",42.9,31,-2.0,44.9
KY-165,"Menifee County",43.3,48,-1.1,44.4
KY-167,"Mercer County",43.7,49,-1.0,44.7
KY-169,"Metcalfe County",43.6,32,-2.3,45.9
KY-171,"Monroe County",44.1,27,-2.4,46.5
KY-173,"Montgomery County",43.0,49,-1.2,44.2
KY-175,"Morgan County",43.5,49,-0.9,44.4
KY-177,"Muhlenberg County",44.0,26,-2.7,46.7
KY-179,"Nelson County",44.0,49,-1.0,45
KY-181,"Nicholas County",42.6,50,-1.1,43.7
KY-183,"Ohio County",43.1,23,-2.9,46
KY-185,"Oldham County",42.8,45,-1.2,44
KY-187,"Owen County",43.0,46,-0.8,43.8
KY-189,"Owsley County",43.7,36,-1.9,45.6
KY-191,"Pendleton County",42.7,42,-0.9,43.6
